Company	Industry	Sector
Walmart	Retailing	General Merchandisers
State Grid	Energy	Utilities
Sinopec Group	Energy	Petroleum Refining
China National Petroleum	Energy	Petroleum Refining
Toyota Motor	Motor Vehicles & Parts	Motor Vehicles and Parts
Volkswagen	Motor Vehicles & Parts	Motor Vehicles and Parts
Royal Dutch Shell	Energy	Petroleum Refining
Berkshire Hathaway	Financials	Insurance: Property and Casualty (Stock)
Apple	Technology	Computers, Office Equipment
Exxon Mobil	Energy	Petroleum Refining
McKesson	Wholesalers	Wholesalers: Health Care
BP	Energy	Petroleum Refining
UnitedHealth Group	Health Care	Health Care: Insurance and Managed Care
CVS Health	Health Care	Health Care: Pharmacy and Other Services
Samsung Electronics	Technology	Electronics, Electrical Equip.
Glencore	Energy	Mining, Crude-Oil Production
Daimler	Motor Vehicles & Parts	Motor Vehicles and Parts
General Motors	Motor Vehicles & Parts	Motor Vehicles and Parts
AT&T	Telecommunications	Telecommunications
EXOR Group	Financials	Diversified Financials
Ford Motor	Motor Vehicles & Parts	Motor Vehicles and Parts
Industrial & Commercial Bank of China	Financials	Banks: Commercial and Savings
AmerisourceBergen	Wholesalers	Wholesalers: Health Care
China State Construction Engineering	Engineering & Construction	Engineering, Construction
AXA	Financials	Insurance: Life, Health (stock)
Amazon.com	Technology	Internet Services and Retailing
Hon Hai Precision Industry	Technology	Electronics, Electrical Equip.
China Construction Bank	Financials	Banks: Commercial and Savings
Honda Motor	Motor Vehicles & Parts	Motor Vehicles and Parts
Total	Energy	Petroleum Refining
General Electric	Industrials	Industrial Machinery
Verizon	Telecommunications	Telecommunications
Japan Post Holdings	Financials	Insurance: Life, Health (stock)
Allianz	Financials	Insurance: Property and Casualty (Stock)
Cardinal Health	Wholesalers	Wholesalers: Health Care
Costco	Retailing	General Merchandisers
Walgreens Boots Alliance	Food & Drug Stores	Food and Drug Stores
Agricultural Bank of China	Financials	Banks: Commercial and Savings
Ping An Insurance	Financials	Insurance: Life, Health (stock)
Kroger	Food & Drug Stores	Food and Drug Stores
SAIC Motor	Motor Vehicles & Parts	Motor Vehicles and Parts
Bank of China	Financials	Banks: Commercial and Savings
BNP Paribas	Financials	Banks: Commercial and Savings
Nissan Motor	Motor Vehicles & Parts	Motor Vehicles and Parts
Chevron	Energy	Petroleum Refining
Fannie Mae	Financials	Diversified Financials
China Mobile Communications	Telecommunications	Telecommunications
J.P. Morgan Chase	Financials	Banks: Commercial and Savings
Legal & General Group	Financials	Insurance: Life, Health (stock)
Nippon Telegraph & Telephone	Telecommunications	Telecommunications
China Life Insurance	Financials	Insurance: Life, Health (stock)
BMW Group	Motor Vehicles & Parts	Motor Vehicles and Parts
Express Scripts Holding	Health Care	Health Care: Pharmacy and Other Services
Trafigura Group	Wholesalers	Trading
China Railway Engineering	Engineering & Construction	Engineering, Construction
Prudential	Financials	Insurance: Life, Health (stock)
Assicurazioni Generali	Financials	Insurance: Life, Health (stock)
China Railway Construction	Engineering & Construction	Engineering, Construction
Home Depot	Retailing	Specialty Retailers
Boeing	Aerospace & Defense	Aerospace and Defense
Wells Fargo	Financials	Banks: Commercial and Savings
Bank of America Corp.	Financials	Banks: Commercial and Savings
Gazprom	Energy	Energy
Nestle	Food, Beverages & Tobacco	Food Consumer Products
Alphabet	Technology	Internet Services and Retailing
Siemens	Industrials	Industrial Machinery
Carrefour	Food & Drug Stores	Food and Drug Stores
Dongfeng Motor	Motor Vehicles & Parts	Motor Vehicles and Parts
Microsoft	Technology	Computer Software
Anthem	Health Care	Health Care: Insurance and Managed Care
Hitachi	Technology	Electronics, Electrical Equip.
SoftBank Group	Telecommunications	Telecommunications
Banco Santander	Financials	Banks: Commercial and Savings
Citigroup	Financials	Banks: Commercial and Savings
