A,B,C,D,E,F,Sector,Industry,I,L,M,N,O,P,Q,R,S,Company
485873,0.8,13643,198825,-7.2,2300000,General Merchandisers,Retailing,23,2300000,485873,13643,198825,77798,2.8,6.9,17.5,Walmart
315199,-4.4,9571.3,489838,-6.2,926067,Utilities,Energy,17,926067,315199,9571.3,489838,209456,3,2,4.6,State Grid
267518,-9.1,1257.9,310726,-65,713288,Petroleum Refining,Energy,19,713288,267518,1257.9,310726,106523,0.5,0.4,1.2,Sinopec Group
262573,-12.3,1867.5,585619,-73.7,1512048,Petroleum Refining,Energy,17,1512048,262573,1867.5,585619,301893,0.7,0.3,0.6,China National Petroleum
254694,7.7,16899.3,437575,-12.3,364445,Motor Vehicles and Parts,Motor Vehicles & Parts,23,364445,254694,16899.3,437575,157210,6.6,3.9,10.7,Toyota Motor
240264,1.5,5937.3,432116,,626715,Motor Vehicles and Parts,Motor Vehicles & Parts,23,626715,240264,5937.3,432116,97753,2.5,1.4,6.1,Volkswagen
240033,-11.8,4575,411275,135.9,89000,Petroleum Refining,Energy,23,89000,240033,4575,411275,186646,1.9,1.1,2.5,Royal Dutch Shell
223604,6.1,24074,620854,,367700,Insurance: Property and Casualty (Stock),Financials,21,367700,223604,24074,620854,283001,10.8,3.9,8.5,Berkshire Hathaway
215639,-7.7,45687,321686,-14.4,116000,"Computers, Office Equipment",Technology,15,116000,215639,45687,321686,128249,21.2,14.2,35.6,Apple
205004,-16.7,7840,330314,-51.5,72700,Petroleum Refining,Energy,23,72700,205004,7840,330314,167325,3.8,2.4,4.7,Exxon Mobil
198533,3.1,5070,60969,124.5,64500,Wholesalers: Health Care,Wholesalers,23,64500,198533,5070,60969,11095,2.6,8.3,45.7,McKesson
186606,-17.4,115,263316,,74500,Petroleum Refining,Energy,23,74500,186606,115,263316,95286,0.1,,0.1,BP
184840,17.7,7017,122810,20.7,230000,Health Care: Insurance and Managed Care,Health Care,21,230000,184840,7017,122810,38274,3.8,5.7,18.3,UnitedHealth Group
177526,15.8,5317,94462,1.5,204000,Health Care: Pharmacy and Other Services,Health Care,22,204000,177526,5317,94462,36830,3,5.6,14.4,CVS Health
173957,-2,19316.5,217104,16.8,325000,"Electronics, Electrical Equip.",Technology,23,325000,173957,19316.5,217104,154376,11.1,8.9,12.5,Samsung Electronics
173883,2,1379,124600,,93123,"Mining, Crude-Oil Production",Energy,7,93123,173883,1379,124600,44243,0.8,1.1,3.1,Glencore
169483,2.2,9428.4,256262,0.9,282488,Motor Vehicles and Parts,Motor Vehicles & Parts,23,282488,169483,9428.4,256262,61116,5.6,3.7,15.4,Daimler
